order_number	stage_type	from	to	material_code	quantity	start_date	end_date	lead_time	price		
4500000174	PLANT	P	V1	CC-R01	6600	2019-11-05	2019-11-06	24	2.30		
4500000174	PLANT	P	V1	CC-R03	2200	2019-11-05	2019-11-06	24	5.49		
4500000174	PLANT	P	V1	CC-R06	47450	2019-11-05	2019-11-06	24	0.66		
4500000175	PLANT	P	V2	CC-P04	121000	2019-11-05	2019-11-12	120	0.14		
4500000175	PLANT	P	V2	CC-P01	20000	2019-11-05	2019-11-12	120	0.33		
4500000175	PLANT	P	V2	CC-P02	20000	2019-11-05	2019-11-12	120	0.16		
4500000175	PLANT	P	V2	CC-P03	121000	2019-11-05	2019-11-12	120	0.25		
4500000202	PLANT	P	V1	CC-R05	39960	2019-11-19	2019-11-21	48	1.23		
4500000202	PLANT	P	V1	CC-R04	12600	2019-11-19	2019-11-21	48	0.65		
4500000202	PLANT	P	V1	CC-R03	2840	2019-11-19	2019-11-21	48	5.72		
4500000202	PLANT	P	V1	CC-R01	7980	2019-11-19	2019-11-21	48	2.43		
4500000202	PLANT	P	V1	CC-R06	97830	2019-11-19	2019-11-21	48	0.72		
4500000202	PLANT	P	V1	CC-R02	7100	2019-11-19	2019-11-21	48	4.98		
4500000203	PLANT	P	V2	CC-P04	127000	2019-11-19	2019-11-21	48	0.14		
4500000203	PLANT	P	V2	CC-P03	127000	2019-11-19	2019-11-21	48	0.25		
4500000203	PLANT	P	V2	CC-P01	105000	2019-11-19	2019-11-21	48	0.33		
4500000203	PLANT	P	V2	CC-P02	105000	2019-11-19	2019-11-21	48	0.16		
4500000214	PLANT	P	V1	CC-R01	7980	2019-12-03	2019-12-04	24	2.53		
4500000214	PLANT	P	V1	CC-R02	2830	2019-12-03	2019-12-04	24	5.24		
4500000214	PLANT	P	V1	CC-R03	2830	2019-12-03	2019-12-04	24	5.84		
4500000214	PLANT	P	V1	CC-R04	12960	2019-12-03	2019-12-04	24	0.69		
4500000214	PLANT	P	V1	CC-R05	36060	2019-12-03	2019-12-04	24	1.30		
4500000214	PLANT	P	V1	CC-R06	86110	2019-12-03	2019-12-04	24	0.69		
4500000215	PLANT	P	V2	CC-P01	86000	2019-12-03	2019-12-09	96	0.33		
4500000215	PLANT	P	V2	CC-P02	86000	2019-12-03	2019-12-09	96	0.16		
4500000215	PLANT	P	V2	CC-P03	126000	2019-12-03	2019-12-09	96	0.25		
4500000215	PLANT	P	V2	CC-P04	126000	2019-12-03	2019-12-09	96	0.14		
